x,y
-9.23879532511287,3.8268343236509
-9.8078528040323,1.95090322016129
-10,1.22464679914735e-15
-9.8078528040323,-1.95090322016128
-9.23879532511287,-3.8268343236509
-8.31469612302545,-5.55570233019602
-7.07106781186548,-7.07106781186547
-5.55570233019602,-8.31469612302545
-3.8268343236509,-9.23879532511286
-1.95090322016129,-9.8078528040323
-1.83697019872103e-15,-10
1.95090322016127,-9.80785280403231
3.8268343236509,-9.23879532511287
5.55570233019602,-8.31469612302545
7.07106781186547,-7.07106781186548
8.31469612302545,-5.55570233019602
9.23879532511286,-3.8268343236509
9.80785280403231,-1.95090322016128
10,-2.44929359829471e-15
9.80785280403231,1.95090322016127
9.23879532511287,3.8268343236509
8.31469612302546,5.55570233019602
7.07106781186548,7.07106781186547
5.55570233019602,8.31469612302545
3.8268343236509,9.23879532511286
1.95090322016128,9.80785280403231
3.06161699786838e-15,10
-1.95090322016127,9.80785280403231
-3.8268343236509,9.23879532511287
-5.55570233019602,8.31469612302546
-7.07106781186547,7.07106781186548
-8.31469612302545,5.55570233019602
-9.23879532511286,3.82683432365091
