x,y
-9.23879532511287,3.8268343236509
-9.56940335732209,2.90284677254462
-9.8078528040323,1.95090322016129
-9.95184726672197,0.980171403295608
-10,1.22464679914735e-15
-9.95184726672197,-0.980171403295606
-9.8078528040323,-1.95090322016128
-9.56940335732209,-2.90284677254462
-9.23879532511287,-3.8268343236509
-8.81921264348355,-4.71396736825998
-8.31469612302545,-5.55570233019602
-7.73010453362737,-6.34393284163645
-7.07106781186548,-7.07106781186547
-6.34393284163645,-7.73010453362737
-5.55570233019602,-8.31469612302545
-4.71396736825998,-8.81921264348355
-3.8268343236509,-9.23879532511286
-2.90284677254462,-9.56940335732209
-1.95090322016129,-9.8078528040323
-0.980171403295604,-9.95184726672197
-1.83697019872103e-15,-10
0.980171403295601,-9.95184726672197
1.95090322016127,-9.80785280403231
2.90284677254462,-9.56940335732209
3.8268343236509,-9.23879532511287
4.71396736825998,-8.81921264348355
5.55570233019602,-8.31469612302545
6.34393284163645,-7.73010453362737
7.07106781186547,-7.07106781186548
7.73010453362737,-6.34393284163645
8.31469612302545,-5.55570233019602
8.81921264348355,-4.71396736825998
9.23879532511286,-3.8268343236509
9.56940335732209,-2.90284677254462
9.80785280403231,-1.95090322016128
9.95184726672197,-0.980171403295605
10,-2.44929359829471e-15
9.95184726672197,0.9801714032956
9.80785280403231,1.95090322016127
9.56940335732209,2.90284677254462
9.23879532511287,3.8268343236509
8.81921264348355,4.71396736825998
8.31469612302546,5.55570233019602
7.73010453362737,6.34393284163645
7.07106781186548,7.07106781186547
6.34393284163645,7.73010453362737
5.55570233019602,8.31469612302545
4.71396736825998,8.81921264348355
3.8268343236509,9.23879532511286
2.90284677254463,9.56940335732209
1.95090322016128,9.80785280403231
0.980171403295606,9.95184726672197
3.06161699786838e-15,10
-0.9801714032956,9.95184726672197
-1.95090322016127,9.80785280403231
-2.90284677254463,9.56940335732209
-3.8268343236509,9.23879532511287
-4.71396736825997,8.81921264348355
-5.55570233019602,8.31469612302546
-6.34393284163645,7.73010453362738
-7.07106781186547,7.07106781186548
-7.73010453362737,6.34393284163645
-8.31469612302545,5.55570233019602
-8.81921264348355,4.71396736825998
-9.23879532511286,3.82683432365091
