x,y
-10,1.22464679914735e-15
-9.99698818696204,-0.245412285229121
-9.98795456205172,-0.490676743274177
-9.9729045667869,-0.735645635996675
-9.95184726672197,-0.980171403295606
-9.9247953459871,-1.22410675199216
-9.89176509964781,-1.46730474455362
-9.85277642388941,-1.70961888760301
-9.8078528040323,-1.95090322016128
-9.75702130038529,-2.1910124015687
-9.70031253194544,-2.42980179903264
-9.6377606579544,-2.66712757474898
-9.56940335732209,-2.90284677254462
-9.49528180593037,-3.13681740398891
-9.41544065183021,-3.3688985339222
-9.32992798834739,-3.59895036534988
-9.23879532511287,-3.8268343236509
-9.14209755703531,-4.0524131400499
-9.03989293123443,-4.27555093430282
-8.93224301195515,-4.49611329654607
-8.81921264348355,-4.71396736825998
-8.70086991108711,-4.92898192229784
-8.57728610000272,-5.14102744193222
-8.44853565249707,-5.34997619887097
-8.31469612302545,-5.55570233019602
-8.17584813151584,-5.75808191417845
-8.03207531480645,-5.95699304492433
-7.88346427626606,-6.15231590580627
-7.73010453362737,-6.34393284163645
-7.57208846506484,-6.53172842953777
-7.40951125354959,-6.71558954847018
-7.24247082951467,-6.89540544737067
-7.07106781186548,-7.07106781186547
-6.89540544737067,-7.24247082951467
-6.71558954847019,-7.40951125354959
-6.53172842953777,-7.57208846506484
-6.34393284163646,-7.73010453362737
-6.15231590580627,-7.88346427626606
-5.95699304492433,-8.03207531480645
-5.75808191417845,-8.17584813151584
-5.55570233019602,-8.31469612302545
-5.34997619887097,-8.44853565249707
-5.14102744193222,-8.57728610000272
-4.92898192229784,-8.70086991108711
-4.71396736825998,-8.81921264348355
-4.49611329654607,-8.93224301195515
-4.27555093430282,-9.03989293123443
-4.05241314004989,-9.14209755703531
-3.8268343236509,-9.23879532511286
-3.59895036534988,-9.32992798834739
-3.3688985339222,-9.41544065183021
-3.13681740398891,-9.49528180593037
-2.90284677254462,-9.56940335732209
-2.66712757474899,-9.6377606579544
-2.42980179903264,-9.70031253194544
-2.1910124015687,-9.75702130038528
-1.95090322016129,-9.8078528040323
-1.70961888760302,-9.85277642388941
-1.46730474455361,-9.89176509964781
-1.22410675199217,-9.9247953459871
-0.980171403295604,-9.95184726672197
-0.735645635996674,-9.9729045667869
-0.49067674327418,-9.98795456205172
-0.245412285229124,-9.99698818696204
-1.83697019872103e-15,-10
0.24541228522912,-9.99698818696204
0.490676743274177,-9.98795456205172
0.73564563599667,-9.9729045667869
0.980171403295601,-9.95184726672197
1.22410675199216,-9.9247953459871
1.46730474455361,-9.89176509964781
1.70961888760301,-9.85277642388941
1.95090322016128,-9.8078528040323
2.1910124015687,-9.75702130038529
2.42980179903264,-9.70031253194544
2.66712757474898,-9.6377606579544
2.90284677254462,-9.56940335732209
3.13681740398891,-9.49528180593037
3.3688985339222,-9.41544065183021
3.59895036534988,-9.32992798834739
3.8268343236509,-9.23879532511287
4.05241314004989,-9.14209755703531
4.27555093430282,-9.03989293123443
4.49611329654607,-8.93224301195515
4.71396736825998,-8.81921264348355
4.92898192229784,-8.70086991108711
5.14102744193222,-8.57728610000272
5.34997619887097,-8.44853565249707
5.55570233019602,-8.31469612302545
5.75808191417846,-8.17584813151583
5.95699304492433,-8.03207531480645
6.15231590580627,-7.88346427626606
6.34393284163645,-7.73010453362737
6.53172842953777,-7.57208846506485
6.71558954847018,-7.40951125354959
6.89540544737067,-7.24247082951467
7.07106781186547,-7.07106781186548
7.24247082951467,-6.89540544737067
7.40951125354959,-6.71558954847019
7.57208846506484,-6.53172842953777
7.73010453362737,-6.34393284163645
7.88346427626606,-6.15231590580627
8.03207531480645,-5.95699304492433
8.17584813151583,-5.75808191417846
8.31469612302545,-5.55570233019602
8.44853565249707,-5.34997619887097
8.57728610000272,-5.14102744193222
8.70086991108711,-4.92898192229784
8.81921264348355,-4.71396736825998
8.93224301195515,-4.49611329654607
9.03989293123443,-4.27555093430283
9.14209755703531,-4.0524131400499
9.23879532511286,-3.8268343236509
9.32992798834739,-3.59895036534988
9.4154406518302,-3.36889853392221
9.49528180593037,-3.13681740398891
9.56940335732209,-2.90284677254462
9.6377606579544,-2.66712757474899
9.70031253194544,-2.42980179903264
9.75702130038528,-2.1910124015687
9.8078528040323,-1.95090322016129
9.85277642388941,-1.70961888760302
9.89176509964781,-1.46730474455361
9.9247953459871,-1.22410675199217
9.95184726672197,-0.980171403295605
9.9729045667869,-0.735645635996683
9.98795456205172,-0.490676743274181
9.99698818696204,-0.245412285229124
10,-2.44929359829471e-15
9.99698818696204,0.24541228522912
9.98795456205172,0.490676743274176
9.9729045667869,0.735645635996678
